X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
365,163.8,866,647,50,0,285,4.5,0,30,0.38,28,88.54
362.3,162.6,859.5,642.2,49.6,0,282.9,4.5,0.75,30,0.38,28,92.51
361.4,162.2,857.3,640.5,49.5,0,282.2,4.5,1,30,0.38,28,92.51
359.5,161.3,853,637.3,49.2,0,280.7,4.5,1.5,30,0.38,28,93.84
383,170,696,1045,42,0,0,0,0,30,0.5,28,71.6
383,170,686,1029,42,0,0,0,1,30,0.5,28,81.5
437,170,675,1012,48,0,0,0,0,30,0.5,28,87.62
437,170,665,996,48,0,0,0,1,30,0.5,28,81.29
495,165,625,1021,55,0,0,0,0,30,0.5,28,87.62
495,165,616,1004,55,0,0,0,1,30,0.5,28,95.27
576,160,569,1012,64,0,0,0,0,30,0.5,28,105.67
576,160,564,1004,64,0,0,0,0.5,30,0.5,28,105.57
576,160,560,995,64,0,0,0,1,30,0.5,28,108.73
576,160,555,987,64,0,0,0,1.5,30,0.5,28,106.08
675,150,514,998,75,0,0,0,0,30,0.5,28,122.3
675,150,505,981,75,0,0,0,1,30,0.5,28,117.3
385,177,920,884,0,0,0,2.31,0,60,0.75,7,32.95
385,177,920,884,0,0,0,2.31,0,60,0.75,28,41.3
385,177,920,884,0,0,0,2.31,0,60,0.75,91,46.65
385,177,914,877,0,0,0,3.85,0.5,60,0.75,7,37.61
385,177,914,877,0,0,0,3.85,0.5,60,0.75,28,46.35
385,177,914,877,0,0,0,3.85,0.5,60,0.75,91,53.19
385,177,907,871,0,0,0,4.62,1,60,0.75,7,38.59
385,177,907,871,0,0,0,4.62,1,60,0.75,28,47.25
385,177,907,871,0,0,0,4.62,1,60,0.75,91,55.46
354.2,177,915,878,30.8,0,0,2.7,0,60,0.75,7,37.28
354.2,177,915,878,30.8,0,0,2.7,0,60,0.75,28,49.88
354.2,177,915,878,30.8,0,0,2.7,0,60,0.75,91,57.44
354.2,177,908,873,30.8,0,0,4.24,0.5,60,0.75,7,39.35
354.2,177,908,873,30.8,0,0,4.24,0.5,60,0.75,28,53.79
354.2,177,908,873,30.8,0,0,4.24,0.5,60,0.75,91,59.5
354.2,177,901,866,30.8,0,0,5.01,1,60,0.75,7,39.95
354.2,177,901,866,30.8,0,0,5.01,1,60,0.75,28,55.3
354.2,177,901,866,30.8,0,0,5.01,1,60,0.75,91,61.77
450,162,912,877,0,0,0,4.95,0,60,0.75,7,47.58
450,162,912,877,0,0,0,4.95,0,60,0.75,28,55.58
450,162,912,877,0,0,0,4.95,0,60,0.75,91,61.01
450,162,906,868,0,0,0,5.85,0.5,60,0.75,7,49.85
450,162,906,868,0,0,0,5.85,0.5,60,0.75,28,58.44
450,162,906,868,0,0,0,5.85,0.5,60,0.75,91,68.27
450,162,899,864,0,0,0,6.53,1,60,0.75,7,52.91
450,162,899,864,0,0,0,6.53,1,60,0.75,28,60.21
450,162,899,864,0,0,0,6.53,1,60,0.75,91,69.33
414,162,906,870,36,0,0,5.4,0,60,0.75,7,51.19
